skills_text,domain_label,difficulty_level
"BDD, test planning, JUnit, Selenium, Pact, Docker, Pytest, Cypress, Cucumber",QA Automation Engineer,Medium
"Terraform, Git, Bash scripting, Jenkins, Docker, GitOps, CI/CD, Linux, agile",DevOps Engineer,Medium
"Wireshark, threat detection, threat intelligence, firewalls, incident response, cryptography, compliance, Linux, network security",Cybersecurity Analyst,Medium
"reporting, data visualization, data cleaning, Excel, SQL, pivot tables, Google Sheets",Data Analyst,Easy
"HTML, user research, Figma, information architecture, eye tracking, CSS, wireframing, Adobe XD, Sketch",UI/UX Designer,Medium
"leadership, Excel, data modeling, SQL, dashboard design, Power BI, Python, data visualization, presentation",Data Analyst,Medium
"data cleaning, SQL, Tableau, ETL, communication, Snowflake, Google Sheets, window functions, pivot tables, reporting",Data Analyst,Medium
"networking, Lambda, Kubernetes, time management, documentation, cloud security, AWS, Azure, load balancing, Docker, VPC",Cloud Engineer,Hard
"Solidity, Truffle, Ethereum, time management, Hardhat, smart contracts, consensus algorithms, JavaScript, NFT",Blockchain Developer,Easy
"algorithms, C++, SQL, OOP, object oriented, data structures, object-oriented programming, unit testing, Java, Jira, time management",Software Engineer,Easy
"Git, Firebase, Redux, TypeScript, React Native, iOS, offline-first",Mobile App Developer,Medium
"smart contracts, cryptography, Jira, Substrate, Go, Web3.js, Ethereum, Solidity, DeFi",Blockchain Developer,Medium
"object-oriented programming, unit testing, system design, object oriented, algorithms, C++, Git, debugging, Python, OOP, problem solving, code review",Software Engineer,Easy
"Verilog, oscilloscope, agile, Linux kernel, I2C, presentation, microcontrollers, C++, C, GPIO, FreeRTOS",Embedded Systems Engineer,Medium
"CSS, Redux, leadership, JavaScript, OAuth, HTML, React, microservices, Docker, REST API, GraphQL",Full Stack Developer,Medium
"clustering, feature selection, Jira, python, classification, matplotlib, pandas, agile, hypothesis testing",Data Scientist,Easy
"Flutter, Android, Jira, TypeScript, JavaScript, React Native, Bluetooth",Mobile App Developer,Medium
"R, SQL, Hadoop, Jupyter, statistics, regression, forecasting, numpy, A/B testing, classification, seaborn, scikit-learn",Data Scientist,Hard
"Git, Cucumber, contract testing, JMeter, Python, test automation, agile, scrum, SQL, test planning, BDD",QA Automation Engineer,Medium
"automation, communication, monitoring, AWS, CI/CD, Jenkins, presentation, Ansible, continuous integration, Python, continuous deployment, chaos engineering, pipeline, Docker",DevOps Engineer,Hard
"Sketch, UI design tool, user research, user flows, Figma design, wireframing, Adobe XD, motion design, prototyping, Figma",UI/UX Designer,Medium
"Python, reporting, Power BI, dashboard design, data visualization, Excel, agile, SQL, business intelligence, pivot tables",Data Analyst,Easy
"algorithms, problem solving, OOP, SQL, Java, C++, code review, Git",Software Engineer,Easy
"time management, cross-chain bridges, Ethereum, JavaScript, IPFS, smart contracts, Go, consensus algorithms, Layer 2",Blockchain Developer,Hard
"SIEM, Linux, teamwork, security information and event management, penetration testing, Nmap, cryptography, threat detection",Cybersecurity Analyst,Easy
"consensus algorithms, cryptography, smart contracts, JavaScript, NFT, IPFS, Ethereum, Web3.js",Blockchain Developer,Easy
"data modeling, Power BI, data visualization, reporting, Python, Metabase, SQL, pivot tables, Excel, documentation, Confluence, data cleaning, KPI tracking, advanced SQL, dashboard design",Data Analyst,Hard
"agile, seaborn, presentation, SQL, Hadoop, R, python, hypothesis testing, feature selection, regression, A/B testing",Data Scientist,Hard
"Terraform, AWS, time management, CI/CD, Git, Ansible, Grafana, Helm, Kubernetes, Bash scripting",DevOps Engineer,Hard
"scikit-learn, numpy, machine learning, deep learning, feature engineering, communication, tensorflow, transformers, agile, pandas, RLHF",AI/ML Engineer,Medium
"Pulumi, S3, VPC, multi-cloud, GCP, Linux, Kubernetes, IAM, networking",Cloud Engineer,Hard
"RNN, computer vision, LSTM, machine learning, model evaluation, transformers, numpy, time management, pandas, feature engineering",AI/ML Engineer,Easy
"TypeScript, HTML, Docker, performance optimization, presentation, REST API, Redux, JavaScript, Git",Full Stack Developer,Medium
"cryptography, penetration testing, Linux, firewalls, network security, compliance, threat intelligence, SIEM, pen testing, Wireshark, OWASP, ethical hacking, documentation",Cybersecurity Analyst,Medium
"I2C, C, SPI, VHDL, firmware, ARM, teamwork, Python, leadership, FreeRTOS, debugging",Embedded Systems Engineer,Medium
"transformers, scikit-learn, MLOps, keras, machine learning, OpenCV",AI/ML Engineer,Medium
"Google Sheets, advanced SQL, pivot tables, Excel, BigQuery, Tableau, data cleaning, data visualization",Data Analyst,Medium
"accessibility, user flows, usability testing, wireframing, user research, prototyping, interaction design, HTML, CSS",UI/UX Designer,Easy
"HTML, user research, motion design, design systems, usability testing, service design, user flows, accessibility, Figma",UI/UX Designer,Medium
"Layer 2, Cosmos SDK, Truffle, JavaScript, Solidity, Web3.js, Web3, web3, MEV, IPFS, Ethereum",Blockchain Developer,Hard
"Confluence, toil reduction, Linux, Grafana, Docker, ELK stack, capacity planning, Python",Site Reliability Engineer,Medium
"time management, React, REST API, Redux, CSS, Jira, Git, Express",Full Stack Developer,Easy
"SQL, chaos testing, CI/CD, contract testing, Selenium WebDriver, Postman, k6, test planning, Selenium, BDD, API testing, Git",QA Automation Engineer,Hard
"JWT, Flask, REST API, Git, MongoDB, Django",Backend Developer,Medium
"GPIO, RTOS, Jira, C++, FreeRTOS, Linux kernel, time management, firmware, power optimization",Embedded Systems Engineer,Medium
"scikit-learn, presentation, pandas, documentation, LLM, pytorch, feature engineering, computer vision, numpy",AI/ML Engineer,Medium
"Terraform, monitoring, Jenkins, Prometheus, AWS, automation, Helm, Docker",DevOps Engineer,Medium
"neural networks, scikit-learn, pandas, feature engineering, numpy, machine learning, deep learning",AI/ML Engineer,Easy
"contract testing, chaos testing, Python, Git, Selenium, Pact, Selenium WebDriver, Cucumber, API testing, test planning",QA Automation Engineer,Hard
"DAO governance, cryptography, Rust, IPFS, agile, smart contracts, Web3.js, Solidity, consensus algorithms, Ethereum, scrum, Go",Blockchain Developer,Hard
"reporting, ETL, pivot tables, business intelligence, SQL, Jira, data cleaning, leadership, Excel, Python, data visualization",Data Analyst,Easy
"Node, MongoDB, documentation, HTML, NodeJS, presentation, TypeScript, JavaScript, Node.js, Express",Full Stack Developer,Easy
"Terraform, Linux, SRE practices, Istio, Git, automation, documentation, Python, CI/CD, monitoring, Grafana",DevOps Engineer,Hard
"GraphQL, PostgreSQL, JavaScript, Node, Git, TypeScript, NodeJS, Docker, scrum, HTML, Node.js, REST API, presentation, React",Full Stack Developer,Easy
"GPIO, UART, firmware, Linux kernel, teamwork, Python, oscilloscope, microcontrollers, ARM",Embedded Systems Engineer,Easy
"computer vision, machine learning, feature engineering, pandas, triton, CUDA, model evaluation",AI/ML Engineer,Medium
"consensus algorithms, smart contracts, Web3, Web3.js, Solidity, DeFi, Ethereum, agile, cryptography, Go, web3",Blockchain Developer,Medium
"I2C, oscilloscope, ARM, real-time operating system, FreeRTOS, Python, GPIO, FPGA, firmware, RTOS, Verilog",Embedded Systems Engineer,Medium
"Lambda, load balancing, IAM, networking, Azure, AWS, S3, Linux, VPC",Cloud Engineer,Medium
"iOS, TypeScript, communication, mobile UI, Swift, REST API, offline-first, Git, Firebase, Flutter",Mobile App Developer,Medium
"offline-first, Kotlin, iOS, native modules, JavaScript, Git, REST API, Flutter",Mobile App Developer,Medium
"problem solving, SQL, C++, communication, Java, data structures, agile, debugging, code review",Software Engineer,Easy
"Confluence, Cypress, BDD, JMeter, contract testing, CI/CD, test automation, test planning, Git, API testing, Jira",QA Automation Engineer,Hard
"scikit-learn, pandas, seaborn, statistics, data wrangling, causal inference, Jupyter, communication",Data Scientist,Medium
"TypeScript, mobile UI, Android, push notifications, JavaScript, app store deployment, iOS",Mobile App Developer,Medium
"MongoDB, database optimization, Python, PostgreSQL, server-side development, Django, REST API, Git, teamwork, authentication",Backend Developer,Medium
"microservices, MongoDB, Docker, server-side development, FastAPI, Python, REST API, SQL",Backend Developer,Medium
"test planning, BDD, Playwright, Docker, Python, JMeter, Postman, test automation, k6, SQL",QA Automation Engineer,Hard
"Go, IPFS, JavaScript, time management, consensus algorithms, DAO governance, smart contracts, Substrate, Solidity, Rust, teamwork, Ethereum, NFT",Blockchain Developer,Hard
"Ethereum, Go, Web3.js, Rust, Truffle, cryptography",Blockchain Developer,Medium
"problem solving, algorithms, unit testing, system design, design patterns, concurrency, compiler design, Git, debugging, communication, Java, OOP",Software Engineer,Medium
"Selenium, Postman, JUnit, SQL, BDD, test planning, behavior-driven development, contract testing, Git, Docker",QA Automation Engineer,Medium
"firewalls, presentation, documentation, Python, Nmap, red teaming, OWASP, cryptography, threat detection, Linux, compliance",Cybersecurity Analyst,Medium
"Go, Truffle, Web3.js, presentation, consensus algorithms, NFT, documentation, Solidity, Hardhat, JavaScript",Blockchain Developer,Medium
"accessibility, CSS, user research, Figma, prototyping, wireframing, interaction design, component libraries, HTML, agile",UI/UX Designer,Medium
"unit testing, code review, system design, Jira, design patterns, memory management, algorithms, SQL, Java, data structures, documentation",Software Engineer,Medium
"RabbitMQ, authentication, REST API, PostgreSQL, server-side development, presentation, microservices, Git, Django, Python, Docker, MongoDB",Backend Developer,Medium
"design tokens, Jira, usability testing, Figma, CSS, wireframing, user research, Framer, user flows, Adobe XD",UI/UX Designer,Medium
"Flutter, Android, ARKit, Git, mobile UI, iOS, Dart, Redux, Firebase, JavaScript",Mobile App Developer,Medium
"Node.js, SSR, time management, React, Express, JavaScript, Git, Redux",Full Stack Developer,Medium
"network security, cryptography, Nmap, compliance, Linux, Python, SOC, penetration testing",Cybersecurity Analyst,Easy
"Docker, k6, test automation, CI/CD, test planning, Python, Pytest, Playwright, SQL, BDD, Selenium, Postman",QA Automation Engineer,Hard
"SQL, problem solving, Linux, Java, algorithms, agile, unit testing, design patterns, data structures, OOP",Software Engineer,Easy
"SQL, authentication, time management, leadership, MongoDB, Python, Django, Node.js",Backend Developer,Easy
"mobile UI, Kotlin, Redux, Flutter, JavaScript, Bluetooth, Swift, React Native, communication, Git, iOS, time management, Android",Mobile App Developer,Medium
"python, matplotlib, Confluence, Jupyter, hypothesis testing, scikit-learn, communication, statistics, classification, regression, causal inference",Data Scientist,Medium
"documentation, SQL, statistics, clustering, pandas, scikit-learn, agile, A/B testing",Data Scientist,Medium
"penetration testing, incident response, compliance, Wireshark, vulnerability assessment, security information and event management, network security, SIEM, firewalls, Linux, threat detection",Cybersecurity Analyst,Easy
"prototyping, HTML, accessibility, Figma, user research, interaction design, user flows, Sketch",UI/UX Designer,Easy
"HTML, Node.js, SSR, NodeJS, OAuth, GraphQL, Docker, Next.js, leadership, PostgreSQL, WebSockets, Node, REST API, teamwork",Full Stack Developer,Hard
"Pact, test automation, chaos testing, CI/CD, documentation, Docker, Cypress, test planning, Cucumber, JUnit, contract testing, Python",QA Automation Engineer,Hard
"regression, data wrangling, statistics, SQL, pandas, Jupyter",Data Scientist,Easy
"presentation, TypeScript, Redux, JavaScript, GraphQL, Express, leadership, Git, REST API, React",Full Stack Developer,Easy
"Kubernetes, JavaScript, SSR, OAuth, Git, Docker, Next.js, REST API, Node.js",Full Stack Developer,Hard
"Linux, Ansible, Git, Jenkins, Docker, teamwork, Istio, monitoring, Kubernetes, agile, Prometheus",DevOps Engineer,Medium
"networking, time management, Linux, agile, cloud architecture, Kubernetes, load balancing, Terraform",Cloud Engineer,Medium
"leadership, Linux, Terraform, toil reduction, Prometheus, observability, Git, Python, Docker, SLO/SLA",Site Reliability Engineer,Medium
"usability testing, design systems, teamwork, Jira, interaction design, component libraries, prototyping, user research, Sketch, HTML",UI/UX Designer,Medium
"Truffle, IPFS, Ethereum, Go, Web3.js",Blockchain Developer,Medium
"React Native, mobile UI, iOS, Android, time management, Bluetooth, agile, Firebase, offline-first",Mobile App Developer,Medium
"SPI, Linux kernel, power optimization, I2C, FPGA, C, real-time operating system, GPIO, debugging, RTOS, oscilloscope",Embedded Systems Engineer,Medium
"real-time operating system, C, debugging, bootloader development, RTOS, microcontrollers, leadership, I2C, Linux kernel, C++",Embedded Systems Engineer,Medium
"SQL, communication, ETL, Excel, data visualization, reporting, dashboard design, data cleaning, Power BI",Data Analyst,Easy
"incident management, Python, reliability targets, SLO/SLA, Git, Docker, Terraform, presentation, AWS, service level objectives, Kubernetes, Go",Site Reliability Engineer,Hard
"pandas, numpy, machine learning, model evaluation, pytorch, scikit-learn, OpenCV, transformers, feature engineering",AI/ML Engineer,Easy
"user flows, service design, interaction design, accessibility, user research, Figma, usability testing, wireframing, information architecture",UI/UX Designer,Medium
"Git, Dart, Swift, JavaScript, TypeScript, Kotlin, REST API, React Native, iOS, communication, mobile UI",Mobile App Developer,Easy
"AWS, Python, Ansible, automation, Git, monitoring",DevOps Engineer,Medium
"algorithms, Git, memory management, code review, problem solving, Linux, concurrency, unit testing, Go",Software Engineer,Hard
"zero trust, compliance, threat detection, vulnerability assessment, Python, threat intelligence, Wireshark, CVE research, SOC, network security, Linux, firewalls",Cybersecurity Analyst,Hard
"leadership, Docker, agile, Linux, load balancing, IAM, cloud architecture, CDN",Cloud Engineer,Easy
"SIEM, exploit development, firewalls, Nmap, penetration testing, OWASP, Wireshark, SOC, Confluence, Linux",Cybersecurity Analyst,Medium
"dashboard design, SQL, Google Sheets, data visualization, Excel, Looker, pivot tables, ETL, time management, reporting, Power BI, Tableau, leadership",Data Analyst,Medium
"communication, fast api, Flask, FastAPI, server-side development, Redis, database optimization, REST API, Git, Python, Python API, documentation, MongoDB, Django",Backend Developer,Medium
"numpy, RLHF, neural networks, machine learning, Confluence, python, RNN, model evaluation, feature engineering",AI/ML Engineer,Medium
"JavaScript, communication, CSS, leadership, GraphQL, Git, HTML, REST API, Docker",Full Stack Developer,Easy
"Go, observability, runbooks, Elasticsearch Logstash Kibana, Linux, toil reduction, Docker, ELK, scrum, Git, ELK stack, Python",Site Reliability Engineer,Medium
"microcontrollers, oscilloscope, ARM, AUTOSAR, ARM architecture, VHDL, I2C, ARM Cortex, firmware, agile, SPI, bootloader development, Jira",Embedded Systems Engineer,Hard
"Docker, MongoDB, NodeJS, Node.js, React, Mongo, Node, TypeScript, REST API, NoSQL, CSS, JavaScript, time management, Git, OAuth, CI/CD",Full Stack Developer,Medium
"convolutional neural network, deep learning, Confluence, python, pandas, documentation, diffusion models, CNN, LSTM, image classification, huggingface",AI/ML Engineer,Medium
"presentation, agile, Redis, fast api, authentication, Python, FastAPI, Python API, Flask, Git, Django REST framework, Django, SQL",Backend Developer,Easy
"Prometheus, reliability targets, Docker, Python, service level objectives, chaos engineering, SLO/SLA, teamwork, runbooks, time management",Site Reliability Engineer,Medium
"A/B testing, interaction design, Adobe XD, prototyping, user flows, design systems, eye tracking, Figma, HTML",UI/UX Designer,Medium
"scrum, agile, load balancing, S3, Terraform, Azure, cloud architecture, IAM, Lambda",Cloud Engineer,Easy
"Swift, TypeScript, Confluence, native modules, offline-first, Dart, React Native, Git, JavaScript, Flutter, Android, mobile UI",Mobile App Developer,Medium
"server-side development, Kafka, REST API, caching strategies, Docker, Redis, Confluence, Git, leadership, FastAPI",Backend Developer,Medium
"Git, API testing, test planning, CI/CD, SQL, test automation, Python, Postman, Selenium, JUnit, visual regression, Selenium WebDriver",QA Automation Engineer,Medium
"OWASP, red teaming, threat detection, presentation, Confluence, compliance, Python, Linux",Cybersecurity Analyst,Medium
"HTML, CSS, Express, Docker, TypeScript, REST API",Full Stack Developer,Easy
"problem solving, Git, documentation, unit testing, system design, data structures, distributed systems, Go, SQL, object-oriented programming, OOP, object oriented, Python, C++",Software Engineer,Medium
"malware analysis, scrum, SIEM, leadership, firewalls, vulnerability assessment, compliance, Python, incident response, Nmap, threat detection, network security, Linux",Cybersecurity Analyst,Medium
"interaction design, usability testing, prototyping, user research, wireframing, CSS, Figma",UI/UX Designer,Easy
"smart contracts, communication, Cosmos SDK, NFT, consensus algorithms, DeFi, Hardhat, Ethereum, IPFS, cryptography, leadership",Blockchain Developer,Medium
"Python, Git, FastAPI, Django, PostgreSQL, JWT, database optimization, Flask, MongoDB",Backend Developer,Medium
"AWS, Kubernetes, Docker, Linux, Bash scripting, Prometheus, agile, Grafana, service mesh",DevOps Engineer,Hard
"iOS, Flutter/Dart, Git, JavaScript, Dart, Flutter, Google Flutter, performance optimization, mobile UI, Redux, React Native",Mobile App Developer,Medium
"presentation, Linux, Azure, VPC, Docker, Terraform, Amazon Web Services, Amazon cloud, load balancing, AWS, IAM, CDN, communication",Cloud Engineer,Medium
"SQL, Python, Google Sheets, data cleaning, business intelligence, data visualization, ETL, dashboard design, advanced SQL, leadership, reporting",Data Analyst,Medium
"VPC, communication, load balancing, Lambda, cloud architecture, Amazon Web Services, networking, GCP, AWS, IAM, Amazon cloud, Azure",Cloud Engineer,Medium
"Spark, Confluence, documentation, matplotlib, numpy, pandas, regression, classification, hypothesis testing, statistics, Jupyter, python",Data Scientist,Medium
"data visualization, KPI tracking, Google Sheets, Python, Tableau, pivot tables, reporting, ETL, Excel, Jira",Data Analyst,Easy
"API testing, test planning, Pytest, Cypress, Git, chaos testing, Python, Cucumber",QA Automation Engineer,Medium
"I2C, FreeRTOS, C, Linux kernel, Confluence, GPIO, debugging, oscilloscope, RTOS, microcontrollers, VHDL",Embedded Systems Engineer,Medium
"documentation, python, Airflow, feature selection, regression, SQL, classification, numpy, statistics, causal inference",Data Scientist,Medium
"Web3.js, MEV, Go, cryptography, consensus algorithms, DeFi, Hardhat, Ethereum, Solidity, Rust, smart contracts",Blockchain Developer,Hard
"Git, Python, time management, code review, Rust, communication, Java, problem solving, algorithms, OOP",Software Engineer,Medium
"Google Cloud Platform, networking, IAM, Terraform, Kubernetes, cost optimization, VPC, Amazon cloud, GCP, Amazon Web Services, Lambda, Google Cloud, AWS, S3",Cloud Engineer,Hard
"Git, capacity planning, Jira, SLO/SLA, on-call, observability, Go, Terraform",Site Reliability Engineer,Medium
"AWS, runbooks, capacity planning, Grafana, OpenTelemetry, Python, observability",Site Reliability Engineer,Hard
"FastAPI, microservices, Docker, caching strategies, Flask, Python, authentication, communication, MongoDB, SQL",Backend Developer,Medium
"Cucumber, Postman, BDD, test planning, presentation, Python, SQL, Git, Selenium, Docker, documentation, test automation",QA Automation Engineer,Easy
"I2C, DSP, microcontrollers, communication, RTOS, presentation, firmware, FreeRTOS, Python, FPGA, GPIO, debugging",Embedded Systems Engineer,Medium
"JavaScript, iOS, Kotlin, push notifications, TypeScript, Android, Git, React Native",Mobile App Developer,Medium
"user research, usability testing, prototyping, scrum, Adobe XD, HTML, agile, wireframing",UI/UX Designer,Easy
"Flutter, mobile UI, Swift, Kotlin, Redux, JavaScript, native modules, Dart",Mobile App Developer,Medium
"Ethereum, Truffle, Solidity, smart contracts, communication, Web3.js, NFT, consensus algorithms, scrum, Go, cryptography",Blockchain Developer,Medium
"app store deployment, time management, TypeScript, Confluence, Bluetooth, Git, REST API, Swift, JavaScript, Redux, Android, Dart, React Native, push notifications",Mobile App Developer,Hard
"Go, OOP, debugging, object oriented, distributed systems, system design, Jira, object-oriented programming, data structures, design patterns, algorithms, communication, Linux",Software Engineer,Medium
"cryptography, Python, SOC, communication, time management, Nmap, threat detection, firewalls, compliance",Cybersecurity Analyst,Easy
"TypeScript, RN, native modules, Firebase, React Native, scrum, cross-platform mobile, Swift, iOS, REST API, offline-first, Git, Flutter",Mobile App Developer,Medium
"neural networks, huggingface, numpy, scikit-learn, diffusion models, feature engineering, agile, RLHF, time management, transformers, ONNX, pandas",AI/ML Engineer,Hard
"design tokens, design systems, wireframing, component libraries, interaction design, prototyping, wireframes, Framer, accessibility, user flows, usability testing, low-fidelity design",UI/UX Designer,Hard
"scrum, cryptography, consensus algorithms, tokenomics, Web3.js, IPFS, Go, Rust, Ethereum, DeFi, smart contracts",Blockchain Developer,Hard
"agile, feature engineering, model evaluation, numpy, pandas, transformers, machine learning",AI/ML Engineer,Easy
"Docker, AWS, Jenkins, Bash scripting, scrum, Git, Prometheus, Terraform, Grafana",DevOps Engineer,Medium
"Selenium, JUnit, Pytest, JMeter, SQL, contract testing, scrum, CI/CD, Confluence, test automation, test planning",QA Automation Engineer,Hard
"JWT, caching strategies, Flask, FastAPI, server-side development, communication, Docker, SQL, REST API",Backend Developer,Medium
"scikit-learn, computer vision, ONNX, communication, python, transformers, CNN",AI/ML Engineer,Medium
"teamwork, pytorch, NLP, tensorflow, scikit-learn, agile, numpy, python, pandas, feature engineering",AI/ML Engineer,Easy
"safety-critical systems, DSP, microcontrollers, C++, Python, teamwork, firmware, GPIO, oscilloscope, leadership",Embedded Systems Engineer,Medium
"presentation, Grafana, runbooks, incident management, on-call, AWS, SLO/SLA, observability, Linux, ELK stack",Site Reliability Engineer,Medium
"AWS, Docker, load balancing, Amazon cloud, CDN, time management, cloud security, SLA design, S3, Azure, IAM, Linux, Amazon Web Services, VPC",Cloud Engineer,Hard
"presentation, cloud security, networking, S3, IAM, Pulumi, Linux, GCP, cloud architecture, Docker",Cloud Engineer,Medium
"Python, data structures, memory management, debugging, code review, algorithms, system design",Software Engineer,Medium
"cloud security, networking, Terraform, VPC, EC2, cloud architecture, Kubernetes",Cloud Engineer,Medium
"scrum, pivot tables, leadership, Excel, PowerBI, Power BI, data cleaning, reporting, Microsoft Power BI, KPI tracking",Data Analyst,Easy
"Go, Linux, presentation, documentation, Kubernetes, SLO/SLA, incident management, observability, AWS",Site Reliability Engineer,Hard
"data wrangling, numpy, dbt, pandas, classification, python, statistics, matplotlib, hypothesis testing",Data Scientist,Medium
"Express, documentation, presentation, Next.js, PostgreSQL, ReactJS, REST API, React, CSS, React.js",Full Stack Developer,Easy
"mobile UI, REST API, documentation, Git, Firebase, presentation, Kotlin, React Native, push notifications, JavaScript",Mobile App Developer,Medium
"MySQL, A/B testing, database queries, hypothesis testing, documentation, forecasting, PostgreSQL, regression, Bayesian statistics, Jupyter, statistics, presentation, pandas, data wrangling, SQL",Data Scientist,Hard
"Solidity, smart contracts, Web3.js, DeFi, MEV, NFT, cryptography, Hardhat, Go, Ethereum, consensus algorithms",Blockchain Developer,Medium
"Power BI, Excel, SQL, pivot tables, Looker, presentation, reporting, data modeling, ETL, data cleaning, KPI tracking",Data Analyst,Medium
"Git, mobile UI, Bluetooth, Confluence, Google Flutter, Firebase, performance optimization, iOS, Android, Flutter/Dart, Flutter, REST API, Swift, React Native",Mobile App Developer,Medium
"Ethereum, Rust, JavaScript, NFT, Web3.js, smart contracts",Blockchain Developer,Medium
"AWS, Linux, Git, Python, toil reduction, error budgets, presentation, on-call, Terraform",Site Reliability Engineer,Hard
"data visualization, reporting, Tableau Server, SQL, Tableau Desktop, Excel, Power BI, presentation, KPI tracking, Tableau",Data Analyst,Easy
"Selenium WebDriver, SQL, Cypress, leadership, API testing, Selenium, Python",QA Automation Engineer,Easy
"test automation, leadership, CI/CD, Cypress, API testing, behavior-driven development, BDD, Selenium, JUnit, scrum, performance testing, test planning",QA Automation Engineer,Medium
"HTML, MongoDB, leadership, REST API, Kubernetes, GraphQL, Redux, PostgreSQL, Node.js",Full Stack Developer,Medium
"mobile UI, React Native, Flutter, Redux, Flutter/Dart, leadership, Google Flutter, documentation, Kotlin",Mobile App Developer,Easy
"REST API, authentication, Docker, gRPC, Python, microservices, Flask, time management",Backend Developer,Medium
"dashboard design, Python, teamwork, Excel, business intelligence, data cleaning, reporting, Google Sheets, Tableau",Data Analyst,Easy
"Python, Nmap, network security, OWASP, Linux, vulnerability assessment, threat intelligence, threat detection, penetration testing, firewalls, Wireshark",Cybersecurity Analyst,Medium
"MongoDB, server-side development, agile, authentication, Flask, Python, SQL, Kafka, Redis, Confluence",Backend Developer,Medium
"data visualization, teamwork, advanced SQL, Excel, leadership, Python, SQL, pivot tables, dashboard design, Metabase, reporting",Data Analyst,Medium
"OWASP, SOC, zero trust, firewalls, cryptography, Python, compliance, vulnerability assessment, threat detection",Cybersecurity Analyst,Medium
"threat detection, zero trust, Python, incident response, malware analysis, penetration testing, firewalls, Linux, cryptography",Cybersecurity Analyst,Medium
"PostgreSQL, MySQL, database queries, numpy, matplotlib, data wrangling, pandas, Jupyter, statistics, SQL, leadership, classification, regression, time management",Data Scientist,Easy
"SQL, Excel, Metabase, Python, reporting, data visualization, ETL, dashboard design, Looker, Google Sheets, business intelligence",Data Analyst,Medium
"UI design tool, Jira, wireframing, design systems, user research, information architecture, Sketch, CSS, Figma design, Figma, Confluence",UI/UX Designer,Easy
"Dart, performance optimization, ARKit, Git, Flutter, Google Flutter, REST API, documentation, mobile UI, Swift, native modules, Flutter/Dart, leadership, JavaScript, iOS, Android",Mobile App Developer,Hard
"service mesh, Ansible, AWS, Jira, Istio, leadership, Terraform, Python, Kubernetes, Prometheus, Linux, Docker",DevOps Engineer,Hard
"system design, SQL, algorithms, problem solving, data structures, unit testing",Software Engineer,Easy
"data visualization, dashboard design, Tableau, KPI tracking, advanced SQL, agile, reporting, time management",Data Analyst,Medium
"Terraform, Prometheus, incident management, Go, AWS, Confluence, leadership, observability",Site Reliability Engineer,Medium
"C++, communication, distributed systems, OOP, Linux, Git, concurrency, Rust, problem solving, data structures, debugging",Software Engineer,Hard
"Python, Wireshark, zero trust, firewalls, teamwork, network security, cryptography, Linux, threat detection",Cybersecurity Analyst,Medium
"Figma, information architecture, prototyping, Framer, Adobe XD, user research, usability testing, Sketch, interaction design, user flows",UI/UX Designer,Medium
"Swift, Kotlin, Git, iOS, Confluence, TypeScript, JavaScript, REST API",Mobile App Developer,Easy
"Tableau, reporting, Python, Excel, dashboard design, SQL, KPI tracking, Snowflake, Power BI, dbt, data cleaning",Data Analyst,Medium
"torch, python, PyTorch, model evaluation, keras, pytorch, machine learning, OpenCV, Jira, scikit-learn, pandas, scrum",AI/ML Engineer,Easy
"SQL, Git, API testing, Postman, Pact, agile, test automation, Python",QA Automation Engineer,Medium
"AWS, Jaeger, Linux, incident management, Prometheus, observability, time management, on-call",Site Reliability Engineer,Medium
"Python, Git, Selenium, test planning, SQL, Docker",QA Automation Engineer,Easy
"Jira, A/B testing, matplotlib, SQL, hypothesis testing, scrum, Jupyter, numpy, statistics, time series, seaborn, scikit-learn, python",Data Scientist,Medium
"monitoring, automation, AWS, Grafana, Git, continuous integration, Jenkins, continuous deployment, CI/CD, pipeline, Bash scripting",DevOps Engineer,Medium
"NFT, Truffle, DAO governance, Hardhat, Solidity, cryptography, smart contracts, JavaScript",Blockchain Developer,Medium
"Bayesian statistics, SQL, pandas, A/B testing, numpy, teamwork, clustering, Jupyter, causal inference",Data Scientist,Hard
"Kubernetes, runbooks, Git, Linux, time management, SLO/SLA, teamwork",Site Reliability Engineer,Medium
"serverless, EC2, Terraform, S3, Jira, teamwork, Kubernetes, networking, Linux, AWS, load balancing, IAM",Cloud Engineer,Hard
"Node.js, Docker, Jira, GraphQL, REST API, React, ReactJS, Express, MongoDB, JavaScript, React.js",Full Stack Developer,Easy
"Django, REST API, FastAPI, Node.js, agile, Python, server-side development, JWT, communication, Git, Redis",Backend Developer,Medium
"presentation, threat detection, malware analysis, OWASP, Python, firewalls, network security, vulnerability assessment",Cybersecurity Analyst,Medium
"React, GraphQL, HTML, JWT, communication, CSS, Next.js, OAuth, Confluence, Redux, PostgreSQL",Full Stack Developer,Medium
"ARM Cortex, C++, ARM, microcontrollers, Python, Linux kernel, VHDL, safety-critical systems, GPIO, firmware, FreeRTOS, SPI, ARM architecture",Embedded Systems Engineer,Medium
"presentation, Prometheus, monitoring, Linux, FinOps, automation, GitOps, continuous integration, continuous deployment, CI/CD, agile, Bash scripting, service mesh, Git, Terraform, pipeline, Kubernetes",DevOps Engineer,Hard
"Firebase, Jira, REST API, Git, React Native, iOS, agile, Swift, native modules",Mobile App Developer,Medium
"runbooks, teamwork, SLO/SLA, Jaeger, AWS, Prometheus, Python",Site Reliability Engineer,Medium
